sci.name,date,lat,lon,life.stage,bathy,SST,SSS,common.name
Caretta caretta,2011-04-07,3.15639,47.05624,Juvenile,677,26.78,35.25,Loggerhead
Caretta caretta,2011-03-21,16.85917,54.27246,Juvenile,145,26.47,36.01,Loggerhead
Caretta caretta,2011-04-27,14.24792,55.59981,Juvenile,2789,26.96,36.09,Loggerhead
Chelonia mydas,2018-03-27,24.541,53.091,NA,2,27.94,38.67,Green
Caretta caretta,2012-06-21,19.70516,61.18875,Juvenile,3673,26.92,36.29,Loggerhead
Chelonia mydas,2016-11-03,25.642,55.717,NA,2,28.21,38.74,Green
Chelonia mydas,2018-04-23,24.578,53.144,NA,2,27.94,38.67,Green
Caretta caretta,2011-12-04,1.30671,54.68792,Juvenile,4907,28.41,35.36,Loggerhead
Chelonia mydas,2016-08-28,24.633,53.04,NA,2,27.91,38.67,Green
Chelonia mydas,2016-10-01,25.745,55.822,NA,5,28.19,38.72,Green
Caretta caretta,2011-07-28,10.45365,60.1356,Juvenile,4786,27.79,36.13,Loggerhead
Chelonia mydas,2017-08-17,25.42,53.356,NA,28,27.97,38.53,Green
Chelonia mydas,2016-08-16,25.756,55.873,NA,3,28.13,38.64,Green
Caretta caretta,2011-05-09,15.75528,54.91695,Juvenile,2962,26.93,36.1,Loggerhead
Chelonia mydas,2017-01-07,24.128,53.518,NA,4,27.99,38.75,Green
Chelonia mydas,2019-06-21,24.642,53.053,NA,2,27.91,38.67,Green
Chelonia mydas,2018-07-26,25.869,57.27,NA,8,28.09,36.76,Green
Chelonia mydas,2016-09-12,24.113,52.483,NA,2,27.79,38.08,Green
Caretta caretta,2011-06-17,2.3676,58.21419,Juvenile,4733,28.87,35.39,Loggerhead
Chelonia mydas,2018-05-01,24.613,52.946,NA,10,27.89,38.66,Green
Chelonia mydas,2016-08-13,25.734,55.832,NA,3,28.19,38.72,Green
Caretta caretta,2011-04-02,14.52701,52.2352,Juvenile,1776,27.19,36.04,Loggerhead
Chelonia mydas,2018-05-01,24.706,53.044,NA,13,27.91,38.69,Green
Caretta caretta,2011-03-26,12.96308,51.14987,Juvenile,2360,27.9,36.04,Loggerhead
Caretta caretta,2011-05-17,16.67504,55.15381,Juvenile,2968,26.49,36.05,Loggerhead
Chelonia mydas,2018-04-25,23.977,52.199,NA,4,27.74,37.67,Green
Caretta caretta,2012-04-07,14.94759,55.71399,Juvenile,2032,27.03,36.09,Loggerhead
Caretta caretta,2011-12-29,7.80722,59.22322,Juvenile,2042,28.25,35.81,Loggerhead
Caretta caretta,2011-03-27,16.47071,54.20042,Juvenile,2257,26.76,36.07,Loggerhead
Chelonia mydas,2016-06-07,24.631,53.037,NA,2,27.91,38.67,Green
Chelonia mydas,2018-05-09,24.668,53.029,NA,11,27.91,38.69,Green
Chelonia mydas,2018-05-11,23.99,57.914,NA,604,28.29,36.83,Green
Chelonia mydas,2017-06-20,24.857,53.076,NA,2,27.84,38.69,Green
Chelonia mydas,2019-07-07,24.566,53.062,NA,2,27.93,38.65,Green
Chelonia mydas,2016-05-25,24.497,52.885,NA,9,27.91,38.57,Green
Caretta caretta,2012-05-18,15.19225,54.99703,Juvenile,2580,26.98,36.09,Loggerhead
Caretta caretta,2011-02-11,5.66353,54.16376,Juvenile,5096,27.74,35.54,Loggerhead
Caretta caretta,2012-03-31,9.24186,50.69493,Juvenile,4,26.21,35.65,Loggerhead
Chelonia mydas,2019-08-14,24.666,53.058,NA,3,27.91,38.67,Green
Caretta caretta,2011-12-08,0.7832,55.20349,Juvenile,4752,28.52,35.35,Loggerhead
Caretta caretta,2011-11-26,0.74281,44.52786,Juvenile,2360,27.05,35.25,Loggerhead
Chelonia mydas,2019-07-17,24.64,53.04,NA,2,27.91,38.67,Green
Caretta caretta,2011-12-13,1.61954,56.55838,Juvenile,4761,28.7,35.35,Loggerhead
Chelonia mydas,2019-07-03,24.552,52.953,NA,9,27.89,38.64,Green
Chelonia mydas,2017-05-06,25.838,55.692,NA,33,28.13,38.49,Green
Caretta caretta,2011-04-23,13.20125,53.51561,Juvenile,3049,26.83,35.97,Loggerhead
Chelonia mydas,2017-05-06,24.638,53.043,NA,2,27.91,38.67,Green
Chelonia mydas,2019-05-15,24.67,53.08,NA,6,27.91,38.69,Green
Chelonia mydas,2018-05-19,24.678,53.069,NA,8,27.91,38.69,Green
